rank,sweep_tier,hostile_prior_rank,title,year,venue,authors,doi,url,citations,query_source,source,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,relevance_score,hostile_score
11,deep_read_metadata,14,Learning Keypoints for Robotic Cloth Manipulation Using Synthetic Data,2024,IEEE Robotics and Automation Letters,Thomas Lips; Victor-Louis De Gusseme; Francis wyffels,https://doi.org/10.1109/lra.2024.3405335,https://doi.org/10.1109/lra.2024.3405335,14,robot self occlusion perception manipulation,openalex,Artificial intelligence; Computer science; Computer vision; Computer graphics (images); Human-computer interaction; Art,Build a spatial memory that remains useful as the robot moves through the world.,"Geometric map optimization over poses, landmarks, or object states.",object absence can wait for later map revisits; the cause of a missing detection is not represented as robot-action evidence,camera calibration; map update schedule; occluder semantics,stale object map entries during manipulation; confusing clear-view absence with robot-caused invisibility,Long-lived object memory in a spatial representation.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Assistive robots should be able to wash, fold or iron clothes. However, due to the variety, deformability and self-occlusions of clothes, creating robot systems for cloth manipulation is challenging. Synthetic data is a promising direction to improve generalization, but the sim-to-real gap limits its effectiveness. To advance the use of synthetic data for cloth manipulation tasks such as robotic folding, we present a synthetic data pipeline to train keypoint detectors for almost-flattened cloth items. To evaluate its performance, we have also collected a real-world dataset. We train detectors for both T-shirts, towels and shorts and obtain an average precision of 64% and an average keypoi...",67.604,83.604
12,deep_read_metadata,37,Mobile Manipulation Integrating Enhanced AMCL High-Precision Location and Dynamic Tracking Grasp,2020,Sensors,Huaidong Zhou; Wusheng Chou; Wanchen Tuo; Yongfeng Rong; et al.,https://doi.org/10.3390/s20226697,https://doi.org/10.3390/s20226697,14,robot self occlusion perception manipulation,openalex,GRASP; Flexibility (engineering); Artificial intelligence; Computer science; Computer vision; Mobile robot,Estimate object pose robustly enough for robot manipulation.,Learned visual representation or sequence model trained from labeled experience.,misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Mobile manipulation, which has more flexibility than fixed-base manipulation, has always been an important topic in the field of robotics. However, for sophisticated operation in complex environments, efficient localization and dynamic tracking grasp still face enormous challenges. To address these challenges, this paper proposes a mobile manipulation method integrating laser-reflector-enhanced adaptive Monte Carlo localization (AMCL) algorithm and a dynamic tracking and grasping algorithm. First, by fusing the information of laser-reflector landmarks to adjust the weight of particles in AMCL, the localization accuracy of mobile platforms can be improved. Second, deep-learning-based multi...",67.604,75.604
13,deep_read_metadata,38,World model learning and inference,2021,Neural Networks,Karl Friston; Rosalyn Moran; Yukie Nagai; Tadahiro Taniguchi; et al.,https://doi.org/10.1016/j.neunet.2021.09.011,https://doi.org/10.1016/j.neunet.2021.09.011,81,robot self occlusion perception manipulation,openalex,Artificial intelligence; Computer science; Inference; Probabilistic logic; Human intelligence; Cognitive robotics,Learn latent object state useful for prediction or control.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Understanding information processing in the brain-and creating general-purpose artificial intelligence-are long-standing aspirations of scientists and engineers worldwide. The distinctive features of human intelligence are high-level cognition and control in various interactions with the world including the self, which are not defined in advance and are vary over time. The challenge of building human-like intelligent machines, as well as progress in brain science and behavioural analyses, robotics, and their associated theoretical formalisations, speaks to the importance of the world-model learning and inference. In this article, after briefly surveying the history and challenges of inter...",67.491,75.491
14,deep_read_metadata,95,Development of a sweet pepper harvesting robot,2020,Journal of Field Robotics,Boaz Arad; J. Balendonck; R. Barth; Ohad BenShahar; et al.,https://doi.org/10.1002/rob.21937,https://doi.org/10.1002/rob.21937,433,robot self occlusion perception manipulation,openalex,Robot; Engineering; Robotic arm; Greenhouse; GRASP; Pepper,Estimate object pose robustly enough for robot manipulation.,"Geometric map optimization over poses, landmarks, or object states.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract This paper presents the development, testing and validation of SWEEPER, a robot for harvesting sweet pepper fruit in greenhouses. The robotic system includes a six degrees of freedom industrial arm equipped with a specially designed end effector, RGBD camera, highend computer with graphics processing unit, programmable logic controllers, other electronic equipment, and a small container to store harvested fruit. All is mounted on a cart that autonomously drives on pipe rails and concrete floor in the enduser environment. The overall operation of the harvesting robot is described along with details of the algorithms for fruit detection and localization, grasp pose estimation, and...",67.324,67.324
15,deep_read_metadata,15,Autonomously Untangling Long Cables,2022,,Vainavi Viswanath; Kaushik Shivakumar; Justin Kerr; Brijen Thananjeyan; et al.,https://doi.org/10.15607/rss.2022.xviii.034,https://doi.org/10.15607/rss.2022.xviii.034,20,robot self occlusion perception manipulation,openalex,Computer science,Estimate object pose robustly enough for robot manipulation.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Cables are ubiquitous in many settings, but are prone to self-occlusions and knots, making them difficult to perceive and manipulate. The challenge often increases with cable length: long cables require more complex slack management and strategies to facilitate observability and reachability. In this paper, we focus on autonomously untangling cables up to 3 meters in length using a bilateral robot. We develop new motion primitives to efficiently untangle long cables and novel gripper jaws specialized for this task. We present Sliding and Grasping for Tangle Manipulation (SGTM), an algorithm that composes these primitives with RGBD vision to iteratively untangle. SGTM untangles cables with...",67.176,83.176
16,deep_read_metadata,42,3D-Anchored Lookahead Planning for Persistent Robotic Scene Memory via World-Model-Based MCTS,2026,arXiv (Cornell University),Bronislav Sidik; Dror Mizrahi,,https://openalex.org/W7154539181,0,object permanence embodied agents robotics,openalex,Computer science; Task (project management); Artificial intelligence; Frame (networking); Monte Carlo tree search; Tree (set theory),Preserve object state beyond the current sensor frame.,Learned visual representation or sequence model trained from labeled experience.,the robot can afford extra sensing actions before acting; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; sensing cost model; occluder semantics,confusing clear-view absence with robot-caused invisibility,Using motion to manage occlusion.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","We present 3D-Anchored Lookahead Planning (3D-ALP), a System 2 reasoning engine for robotic manipulation that combines Monte Carlo Tree Search (MCTS) with a 3D-consistent world model as the rollout oracle. Unlike reactive policies that evaluate actions from the current camera frame only, 3D-ALP maintains a persistent camera-to-world (c2w) anchor that survives occlusion, enabling accurate replanning to object positions that are no longer directly observable. On a 5-step sequential reach task requiring spatial memory (Experiment E3), 3D-ALP achieves 0.650 0.109 success rate on memory-required steps versus 0.006 0.008 for a greedy reactive baseline (=+0.645), while step 5 success reaches 0.8...",67.000,75.000
17,deep_read_metadata,99,Communication Within Multi-FSM Based Robotic Systems,2018,Journal of Intelligent & Robotic Systems,Cezary Zielinski; Maksym Figat; Rene Hexel,https://doi.org/10.1007/s10846-018-0869-6,https://doi.org/10.1007/s10846-018-0869-6,24,robot self occlusion perception manipulation,openalex,Table (database); Whiteboard; Control engineering; Computer science; Robot; Finite-state machine,Improve robot or embodied perception under incomplete observations.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","The paper presents a robotic system design methodology based on the concept of an embodied agent decomposed into communicating subsystems, whose activities are specified in terms of FSMs invoking behaviours parameterised by transition functions and terminal conditions. In the implementation phase, this specification is transformed into a system composed of a whiteboard providing communication means and logically labelled FSMs (LLFSMs) defining the system behaviour. These concepts are used to generate the code of the robot controller. The inclusion of inter-subsystem communication model completes the resulting system design with respect to our previous work that did not account for this mo...",66.472,66.472
18,deep_read_metadata,,Mobile robotics platform for strawberry sensing and harvesting within precision indoor farming systems,2023,Journal of Field Robotics,Guoqiang Ren; Tianhao Wu; Tao Lin; L. Yang; et al.,https://doi.org/10.1002/rob.22207,https://doi.org/10.1002/rob.22207,34,robot self occlusion perception manipulation,openalex,Robotics; Artificial intelligence; Computer science; Precision agriculture; Robot; Engineering,Estimate object pose robustly enough for robot manipulation.,Learned visual representation or sequence model trained from labeled experience.,enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract Indoor farming is expected to have an increasing impact on future food and agricultural systems. It can produce crops yearround without relying on weather patterns, bringing crop production systems closer to advanced manufacturing systems for industrial and consumer goods. Indoor farming also provides an ideal platform for implementing intelligencedriven and empowered agricultural systems that can autonomously gather/process data, build a knowledge base, provide management decision support, and execute crop cultural tasks. Towards that goal, a mobile robotics platform (MRP) has been under development. This platform will provide new capabilities for implementing indoor farming cyb...",66.044,66.044
19,deep_read_metadata,,Supervised Autonomy for Exploration and Mobile Manipulation in Rough Terrain with a Centaur-Like Robot,2016,Frontiers in Robotics and AI,Max Schwarz; Marius Beul; David Droeschel; Sebastian Schuller; et al.,https://doi.org/10.3389/frobt.2016.00057,https://doi.org/10.3389/frobt.2016.00057,30,robot self occlusion perception manipulation,openalex,Teleoperation; Computer science; Robot; Terrain; Artificial intelligence; Mobile robot,Estimate object pose robustly enough for robot manipulation.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",object absence can wait for later map revisits; enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; map update schedule; occluder semantics,stale object map entries during manipulation; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Long-lived object memory in a spatial representation.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Planetary exploration scenarios illustrate the need for autonomous robots that are capable to operate in unknown environments without direct human interaction. At the DARPA Robotics Challenge, we demonstrated that our Centaur-like mobile manipulation robot Momaro can solve complex tasks when teleoperated. Motivated by the DLR SpaceBot Cup 2015, where robots should explore a Mars-like environment, find and transport objects, take a soil sample, and perform assembly tasks, we developed autonomous capabilities for Momaro. Our robot perceives and maps previously unknown, uneven terrain using a 3D laser scanner. Based on the generated height map, we assess drivability, plan navigation paths, a...",65.838,65.838
20,deep_read_metadata,19,Drone swarm strategy for the detection and tracking of occluded targets in complex environments,2023,Communications Engineering,Rakesh John Amala Arokia Nathan; Indrajit Kurmi; Oliver Bimber,https://doi.org/10.1038/s44172-023-00104-0,https://doi.org/10.1038/s44172-023-00104-0,47,occlusion aware object tracking robotics,openalex,Drone; Visibility; Swarm behaviour; Computer science; Particle swarm optimization; Sampling (signal processing),Maintain object identity and state through missed or ambiguous detections.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract Drone swarms can achieve tasks via collaboration that are impossible for single drones alone. Synthetic aperture (SA) sensing is a signal processing technique that takes measurements from limited size sensors and computationally combines the data to mimic sensor apertures of much greater widths. Here we use SA sensing and propose an adaptive real-time particle swarm optimization (PSO) strategy for autonomous drone swarms to detect and track occluded targets in densely forested areas. Simulation results show that our approach achieved a maximum target visibility of 72% within 14 seconds. In comparison, blind sampling strategies resulted in only 51% visibility after 75 seconds and...",65.581,81.581
21,deep_read_metadata,44,Robotic Aubergine Harvesting Using Dual-Arm Manipulation,2020,IEEE Access,Delia Sepulveda; Roemi Fernandez; Eduardo Navas; Manuel Armada; et al.,https://doi.org/10.1109/access.2020.3006919,https://doi.org/10.1109/access.2020.3006919,147,robot self occlusion perception manipulation,openalex,Computer science; Dual (grammatical number); Robotic arm; Artificial intelligence; Literature; Art,Estimate object pose robustly enough for robot manipulation.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Interest in agricultural automation has increased considerably in recent decades due to benefits such as improving productivity or reducing the labor force. However, there are some current problems associated with unstructured environments make developing a robotic harvester a challenge. This article presents a dual-arm aubergine harvesting robot consisting of two robotic arms configured in an anthropomorphic manner to optimize the dual workspace. To detect and locate the aubergines automatically, we implemented an algorithm based on a support vector machine (SVM) classifier and designed a planning algorithm for scheduling efficient fruit harvesting that coordinates the two arms throughou...",65.495,73.495
